"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"Hsdl1"	27.6041211364041	-0.0162843848708759	0.148374248439652	0.835805267947261	0.999629461123645
"9330020H09Rik"	4.53388521122549	-0.067652649392589	0.187245146102149	0.141825803452553	0.999629461123645
"Lrrc46"	7.99447787105771	0.0259212222236742	0.167665180344482	0.631871105187085	0.999629461123645
"2010107G23Rik"	20.7112649771761	-0.0141356719972373	0.152875076465503	0.848581490684189	0.999629461123645
"Ggps1"	35.9734606118118	-0.00670144738492635	0.14387217122167	0.933395039862235	0.999629461123645
"Sbf1"	14.1912906597999	-0.051337937596939	0.166512405602903	0.460030887117652	0.999629461123645
"Atp6v1g2"	3.92911315180592	0.0357704382524106	0.174535064861529	0.391409179182461	0.999629461123645
"H2-Ab1"	44.0802424329655	3.91303471346999	0.38632613665211	7.30319952889272e-25	3.28238245493012e-22
"Rc3h1"	4.67572911596655	0.0119036307435544	0.169648697074403	0.779319733981189	0.999629461123645
"Prcd"	34.5358386056292	-0.250165819846159	0.258398116477588	0.0444561256586825	0.685300720146416
"Lmbrd1"	83.8648951812751	-0.0824018042615432	0.129255027074116	0.367118691719573	0.999629461123645
"Pknox1"	3.45480297255366	0.0231223400851708	0.172224114358962	0.549536426059472	0.999629461123645
"Samd15"	1.30289566634889	0.023840803373685	0.17523256535106	0.334499044531695	0.999629461123645
"Uqcrq"	1915.19732620442	-0.00162611060456315	0.0695836736376815	0.978328816995016	0.999629461123645
"Egln1"	51.4372314590238	0.0124957973460535	0.137692662190561	0.886747759708042	0.999629461123645
"Prickle3"	3.24658784954633	-0.0143998703649558	0.171124581689454	0.701481642083524	0.999629461123645
"Fetub"	4.83239765784291	-0.00131721199669217	0.168424278747183	0.975100928466387	0.999629461123645
"Ndrg4"	7.50929104452344	-0.00303823339986854	0.165635361860088	0.952114803457616	0.999629461123645
"Synm"	14.4710744339562	-0.120688092588904	0.207320178111312	0.127274563720475	0.988370216865681
"Tdp1"	4.45767817551758	-0.0190464650450553	0.170018509455804	0.664483021876459	0.999629461123645
"P4ha2"	64.5833767963151	-0.104451061298608	0.152110177311916	0.268768171261143	0.999629461123645
"Csf2"	2.42378647955332	0.0110566513755428	0.172123514191573	0.725029726416773	0.999629461123645
"Eif4g1"	147.229742479401	-0.0116001164224221	0.106184232342998	0.889987615170567	0.999629461123645
"Tprkb"	55.4235834127022	-0.0667006953997775	0.137801305073889	0.45797142477979	0.999629461123645
"Psmc3ip"	18.667531127578	-0.0913721579601188	0.18171729802167	0.240883682512617	0.999629461123645
"Map10"	1.50551525279022	-0.0038397775219443	0.172625703203932	0.882163921605151	0.999629461123645
"Ap1g2"	3.46444112237885	0.00626655716513593	0.1703885534481	0.869683265400416	0.999629461123645
"Rabl2"	24.9405416805569	0.00939077814984416	0.148684966454537	0.905653822918501	0.999629461123645
"Rhoc"	334.376047987294	0.366837783804299	0.0990325582778281	3.52039312500647e-05	0.00258908912557294
"Chn1"	19.2981512734015	-0.17633887212908	0.251796345896418	0.0684274488876922	0.819146716666553
"C1qtnf5"	268.919266869974	-0.0781061002538551	0.118713434801339	0.381431630728479	0.999629461123645
"Zdhhc6"	46.565304619745	0.0425209888757142	0.139406970730255	0.625212214637531	0.999629461123645
"Tspan5"	22.2767595080217	-0.045955772871969	0.157749017664917	0.549443653536389	0.999629461123645
"Atpaf2"	38.8517541839251	-0.144895252153409	0.184853779843594	0.145652219864699	0.999629461123645
"Trappc2l"	160.445921889539	0.00890429831395488	0.109536088669492	0.917703892215174	0.999629461123645
"Slc30a4"	16.2149439947518	0.0289192488984581	0.158900387866809	0.682160045310312	0.999629461123645
"Spag1"	1.22813940278157	-0.00344011968595717	0.173007019913932	0.883178928393447	0.999629461123645
"Ube2v2"	5.4523956854011	0.0630493870924542	0.183760399861442	0.192056463432853	0.999629461123645
"Arl8b"	45.6199160599294	0.0654842015829634	0.143851253611694	0.462392470448306	0.999629461123645
"Kpna1"	29.6095850122869	0.0766029826109518	0.160440283178416	0.370683410571771	0.999629461123645
"Ccdc112"	2.00545120889947	0.0298555893154166	0.17567171486091	0.320597937741782	0.999629461123645
"Zfp467"	11.8548131988825	-0.0992946814599909	0.195222894936999	0.161620474251502	0.999629461123645
"Zfp979"	4.96393557405906	0.0131442563887756	0.1686662288936	0.77544875776152	0.999629461123645
"Hmgcr"	21.4016593630979	0.0326623650686928	0.15447579690339	0.669357766273757	0.999629461123645
"Brap"	18.704541243034	-0.0849300484590327	0.176056559900371	0.279385026984886	0.999629461123645
"Rps6ka3"	12.1475158629857	-0.0168810153995847	0.162093347999976	0.784511087428177	0.999629461123645
"Hypk"	191.758732757089	-0.0217464690434686	0.104435279924219	0.794159919091162	0.999629461123645
"Trim24"	4.99374498948565	0.0453276533283893	0.176268127431217	0.328704596859007	0.999629461123645
"Postn"	5.41729379237814	-0.146269063699639	0.264877539803422	0.0159810187283985	0.387085154229771
"Szrd1"	170.626077757455	-0.0550513077943301	0.106229631991885	0.515524723167966	0.999629461123645
"Ctdspl2"	6.30084205351671	0.00305532484367161	0.166438585942836	0.952983499799634	0.999629461123645
"Zfp874b"	2.02758728074459	0.0330796343709603	0.1765801104489	0.272025043529717	0.999629461123645
"Dennd6a"	8.25639693433342	0.0258436074472513	0.167427530181854	0.636344599240571	0.999629461123645
"Fis1"	571.261485311203	-0.0886982140466928	0.0817734585756019	0.219170720631752	0.999629461123645
"1810026B05Rik"	6.4070222151206	-0.0310195183748823	0.170682099498769	0.526527642757934	0.999629461123645
"Mycbp"	57.8589879635993	-0.064841365468358	0.137448986565631	0.466428187268794	0.999629461123645
"Polr1e"	8.02559426406924	-0.0103728393847274	0.165273446542822	0.847215857033618	0.999629461123645
"Psma3"	27.28146695602	-0.0205932266114524	0.147724281744441	0.795750829270935	0.999629461123645
"4933412E12Rik"	14.7617903194906	0.828116651831337	0.479877487985979	0.00308884194333204	0.121304520978428
"Fbxo9"	51.226751164951	-0.0393086268521457	0.140838993985628	0.646194612128383	0.999629461123645
"Ostf1"	92.6987298568546	0.06030161827062	0.123782504615477	0.499464457896437	0.999629461123645
"Kat6b"	2.77046950041255	0.00629511328526017	0.171505644370909	0.848494255211572	0.999629461123645
"Vezt"	8.91542596337931	-0.00333677017927343	0.163955459924981	0.951368982816309	0.999629461123645
"Acacb"	31.8860097678919	0.0881167617466415	0.165115355802833	0.31332329235509	0.999629461123645
"3110045C21Rik"	2.94141612029051	-0.0632748536914284	0.188225700965983	0.0715063158778208	0.831158183120073
"Prr14l"	3.53784473364789	0.0290431085222005	0.173447164571919	0.456420391807357	0.999629461123645
"Tcirg1"	15.9845487352061	0.0569144826592099	0.167429174856811	0.425825962070425	0.999629461123645
"Capns1"	329.763376750994	-0.0394203128670326	0.0863816597319459	0.598688866557571	0.999629461123645
"Tada3"	31.2857283520982	0.109854430439676	0.174563189773137	0.227906530202262	0.999629461123645
"Epb41l5"	13.7069955556231	-0.012134602988793	0.159157214645319	0.853495444132418	0.999629461123645
"Ntn3"	1.46943725710207	0.00767378048524387	0.172854930131204	0.766997806280975	0.999629461123645
"Smad3"	20.3313436756416	0.0470561112387336	0.164408003747775	0.502778250734666	0.999629461123645
"Aimp2"	96.7094651089977	0.0253806721049569	0.121765508628643	0.772718741058474	0.999629461123645
"Pard6b"	9.0938107047446	0.10704451157499	0.20687543198203	0.106939152021897	0.964120809647635
"Ormdl1"	33.8242985947723	-0.0669362503308584	0.153380189171271	0.435926819227511	0.999629461123645
"Ctf1"	9.81380477844548	-0.0325975591715326	0.167227212715288	0.574257106867081	0.999629461123645
"Frrs1"	26.3764933519232	0.0201588592420877	0.149640769893927	0.798094369617684	0.999629461123645
"Ip6k2"	1.86702719767242	0.0229490736479498	0.174455208048208	0.415882772712247	0.999629461123645
"Mrps23"	93.1146978428059	0.0773552827481137	0.123399195276104	0.392185493481517	0.999629461123645
"Nsmf"	47.9957886722629	-0.00162036587751334	0.13451790921813	0.984103580582888	0.999629461123645
"Ndufaf2"	52.6226697977803	0.0735351587551729	0.145470524380577	0.415088185465453	0.999629461123645
"Pafah2"	60.7571026108105	-0.0139217682642384	0.129757896802393	0.87195657779257	0.999629461123645
"Ergic1"	175.362655905244	-0.0364034187784005	0.105167119374442	0.664870606016278	0.999629461123645
"Ubtf"	52.5132439531779	-0.152511339309739	0.170424995887985	0.136899141388867	0.999629461123645
"Lenep"	4.88906278783434	-0.0242619794987626	0.170186738820738	0.599675220924477	0.999629461123645
"Dnah11"	3.7155827121385	-0.00517181039859345	0.169932690220484	0.89448112593746	0.999629461123645
"Pex11b"	54.7790300633187	0.0481337895623854	0.139161046825722	0.583362192915	0.999629461123645
"Pdha1"	182.059761019466	-0.196588912504478	0.123977363048834	0.0415727237138046	0.664930249871652
"Zmym5"	9.71406150235338	0.098246509299055	0.198238703224732	0.141328776079505	0.999629461123645
"Ift122"	33.070189824924	-0.182378267791478	0.211193148105012	0.0899325289113028	0.914752957543735
"Shisa6"	1.40362147216383	0.00583462900292305	0.172835042388003	0.818808561542632	0.999629461123645
"C2cd5"	6.36004426013174	-0.00353444168017012	0.166929492541043	0.941326930164919	0.999629461123645
"Rhob"	18.9832681917871	0.0726239494804413	0.170538801382475	0.343671489597195	0.999629461123645
"Upf2"	5.30871298163633	0.0640327359654166	0.184020948853482	0.19296825598956	0.999629461123645
"Nktr"	8.02818984081278	0.0766671596862109	0.186700759470448	0.196242025579319	0.999629461123645
"Gm5801"	29.6488845992194	0.0827577569207516	0.161951482754265	0.340634010802335	0.999629461123645
"BC048507"	26.1600905970179	-0.070767648069255	0.163132118288044	0.384171934752842	0.999629461123645
"Fbxo21"	18.9921985291086	-0.0383709304704159	0.158397890655335	0.603852151792801	0.999629461123645
"Ntn1"	3.8004072084379	-0.00817975810435376	0.169872904628433	0.838993656135756	0.999629461123645
"Rpl18"	26.0017463981882	0.0315839086360056	0.155096883297788	0.67613314705405	0.999629461123645
"Ppp2r5e"	30.0376953945541	-0.00930745221076939	0.145851909166312	0.906417394025838	0.999629461123645
"St3gal3"	30.5909056692241	-0.0241690907555346	0.145907300797726	0.76619566052888	0.999629461123645
"Camk2g"	25.3178817287864	0.0228151013839555	0.150718595791314	0.771905813606533	0.999629461123645
"C1qb"	59.6395075179403	0.987670151322935	0.218754007247322	3.59310530141817e-07	3.82476603795698e-05
"Fras1"	6.37509101453088	-0.0086988305235488	0.166859331019539	0.860006686424553	0.999629461123645
"Rcn3"	45.8359713144933	-0.114397355078648	0.167166861769551	0.225143713674023	0.999629461123645
"Glrx5"	31.2417456987699	0.0176694111214067	0.144190960745531	0.830686851721916	0.999629461123645
"Ctxn3"	6.0516984424444	-0.00600882737264998	0.167090455658764	0.901122381891553	0.999629461123645
"Clic3"	9.55572576597431	-0.0809606987286311	0.186930649019137	0.201367006601885	0.999629461123645
"Ank3"	5.45312460085155	-0.00348808737618992	0.167597724353278	0.93982231623278	0.999629461123645
"Ep400"	10.1733655067286	0.138908564620108	0.235403779176196	0.0663010040972478	0.806175034789681
"Cox6a1"	2225.86536602961	-0.127258664342141	0.0741075153533076	0.0573247459294034	0.760780854656876
"Gprc5a"	1.2954407294788	0.0213015623208812	0.174864663185659	0.370357883630727	0.999629461123645
"Crbn"	27.5187682017247	-0.262339323720555	0.289512508325174	0.038409251263584	0.644427834883639
"Rap1gds1"	60.2412213768522	0.0249873513059316	0.130819355876083	0.775571245651634	0.999629461123645
"Stt3b"	54.1012863728049	-0.00316633747956722	0.135289861859032	0.969466312762311	0.999629461123645
"Krr1"	15.5318630144179	-0.0422421911459296	0.162165409464366	0.548873254640708	0.999629461123645
"Vdac3"	102.634625123941	0.0521878603049234	0.120944830008576	0.555960019768655	0.999629461123645
"Acap2"	6.41271102323843	0.0722925636315899	0.187438581338877	0.168910057475822	0.999629461123645
"Spc25"	14.8078814399527	-0.0309690273416123	0.160958753392389	0.648817133752289	0.999629461123645
"Bbs9"	14.2159629334058	-0.0746869045410376	0.176341036473143	0.297826640515536	0.999629461123645
"Efcab14"	41.2960562039094	-0.0318213703843194	0.142880444582772	0.704421649634302	0.999629461123645
"Pear1"	2.96705573965312	0.0171959124877218	0.171981123801666	0.630558744888866	0.999629461123645
"Rnf220"	30.7276016579503	-0.0107309798848621	0.146485890827461	0.908340660984689	0.999629461123645
"Tomm20"	74.8278661633523	-0.118649631713213	0.145890160510874	0.219321826136239	0.999629461123645
"Ppm1f"	123.560349708876	-0.0357936322355061	0.109863458611605	0.678623071236037	0.999629461123645
"Diablo"	65.5676583876596	-0.0405357236363847	0.129608919139421	0.645501482070279	0.999629461123645
"Arhgdib"	204.351023667648	0.183852780977554	0.130656948399574	0.0617437507283737	0.784995632135921
"Cnst"	28.4435859833403	0.138415139581637	0.199257335031692	0.141605643420691	0.999629461123645
"Clptm1l"	110.563269347264	0.139606106956591	0.129223824717624	0.143656639781936	0.999629461123645
"Narfl"	37.8880824144321	0.0507123502413215	0.145441604289391	0.555900135123584	0.999629461123645
"B3gnt9"	1.50043537108815	0.00900333238822153	0.173148264946188	0.715654025447571	0.999629461123645
"Il15"	6.5907196465836	-0.0217139298230046	0.168229946064335	0.665550441913064	0.999629461123645
"Khk"	17.4670569854522	0.117426228485578	0.199570314416536	0.153986259334353	0.999629461123645
"Gcnt1"	1.46566734753117	-0.0158791426600381	0.173745681616624	0.533597307750402	0.999629461123645
"Xkr8"	6.79735009813357	0.024404069942307	0.168488799554209	0.635128155641826	0.999629461123645
"Uhrf1"	3.29786586473856	-0.0129700987272855	0.170995649113007	0.728258810844361	0.999629461123645
"Lrg1"	1.43046199316143	-0.0185288455443009	0.174206794433293	0.454141307243167	0.999629461123645
"Smim8"	75.9436125133641	-0.0796587199033825	0.13128988025598	0.383077846792358	0.999629461123645
"Mrc2"	10.6891075356393	-0.0650994184424034	0.177161153406882	0.303010764805986	0.999629461123645
"Mdm1"	4.08159961724659	-0.0151518735817595	0.169993605467335	0.717982130466034	0.999629461123645
"Ebpl"	80.7731162139953	0.143343738873934	0.150195532707956	0.151955508677726	0.999629461123645
"Akr1b8"	13.0598034121797	0.0384337022027532	0.164212818523342	0.563347094786904	0.999629461123645
"Wdr91"	11.1431971357871	0.0778211437865474	0.181972510023292	0.249944780987616	0.999629461123645
"Npdc1"	170.825391559771	-0.0067388189318251	0.103839412747256	0.9350142683784	0.999629461123645
"Foxj2"	5.66206038415207	-0.00561849506691618	0.167628536247115	0.903664899361187	0.999629461123645
"Tsku"	4.70261904189191	0.0261875490472231	0.171251014963372	0.556646622922701	0.999629461123645
"Rad23a"	141.828444094733	0.0734105378108154	0.116622881279303	0.386262100891338	0.999629461123645
"Cdc42ep1"	66.93652780919	0.169537646701854	0.162927058516778	0.106222816299639	0.963761228557844
"Pex2"	64.3468337541056	0.00396968320685608	0.125872697611753	0.964767465978211	0.999629461123645
"Pde1a"	3.31603104632175	-0.00496894743189026	0.170473240418612	0.891939552845656	0.999629461123645
"Ptgds"	294.790845343736	-0.141379341069229	0.0999674469924724	0.0895971632456323	0.914752957543735
"Tomm6"	860.037139485062	0.0300790379177214	0.08556552487808	0.687381275341206	0.999629461123645
"Bmp6"	63.3827677357638	-0.214532273893775	0.177888069527466	0.0574988803145282	0.760780854656876
"Ddi2"	5.36121228596881	0.0393417776735513	0.173548434594246	0.413556091225302	0.999629461123645
"E230029C05Rik"	1.63692524659527	0.0220789686600534	0.174782654264706	0.381339379876829	0.999629461123645
"Gstm5"	170.998062473109	-0.00805135616315688	0.102382929902855	0.921849305852501	0.999629461123645
"Pabpc4"	3.03670117395554	0.0179560211390373	0.172009372184693	0.618099155474861	0.999629461123645
"Gpc1"	173.488687673335	0.0140522119759283	0.115777554385475	0.872298166295662	0.999629461123645
"Oxr1"	23.8974587777184	0.127402379161453	0.192819961756088	0.163453248264531	0.999629461123645
"Ache"	1.24572621978354	0.0110351810069945	0.173322941575664	0.655194148288785	0.999629461123645
"Zik1"	2.00934254819806	0.0297125669385003	0.175826136552319	0.308580989596155	0.999629461123645
"Acbd5"	31.2892785129142	-0.268260816659559	0.269074257170995	0.037697954896308	0.64101572315309
"Tcf7l2"	3.57425963482801	0.0190836027171686	0.17135857857941	0.627214315682121	0.999629461123645
"Ei24"	37.9041510501621	0.0370402230096315	0.145371613487124	0.659320953427056	0.999629461123645
"Bcas2"	104.558703022931	0.0142938883184964	0.114326070415429	0.869203026136479	0.999629461123645
"Gcfc2"	1.43027455896086	0.0060697000170129	0.17278648954739	0.814040896197804	0.999629461123645
"Golph3l"	17.6403067602993	-0.00714780969014221	0.155241600953829	0.915527279630282	0.999629461123645
"Tmem246"	24.9841854220134	-0.165649268066541	0.226148257412235	0.0936898021175392	0.928860905797662
"Adipor1"	159.079990589238	-0.123877164919684	0.115156333767609	0.168212640658148	0.999629461123645
"Atxn7l3b"	121.480523707109	0.0640017914166687	0.113144426729254	0.46382784695362	0.999629461123645
"Cops3"	71.5572545795202	0.0198884842366729	0.124495316982947	0.820932326546089	0.999629461123645
"Fbxo16"	13.5900264222565	0.0930507929032886	0.189085542033277	0.197643893966757	0.999629461123645
"Tmed5"	63.4159832243313	0.0637433674394197	0.133983261204807	0.477486073176566	0.999629461123645
"Zfp14"	2.93764834410017	0.0357060607903658	0.175991078664008	0.322741537456374	0.999629461123645
"Nifk"	36.1956176886256	0.0149540158498919	0.143446707808539	0.85664386372352	0.999629461123645
"Ifih1"	19.516838530846	1.08780665920928	0.422890321329978	0.000439518378638496	0.0239172893487809
"Iqgap3"	1.57400877788049	0.023656099973409	0.174818196406596	0.380499392876598	0.999629461123645
"Rab11fip4"	2.0630872024372	-0.0573719282735348	0.186273303912562	0.0554994941773637	0.747487638004782
"Ndufv1"	114.787693721832	-0.0346087842437491	0.117299450819927	0.691212802520695	0.999629461123645
"Ripk2"	11.1649598462071	0.604267932668658	0.69285592210433	0.00956394771333239	0.275020155216324
"Mrpl42"	181.391296713449	-0.0868170728373906	0.10371934560655	0.300312102832213	0.999629461123645
"Srpr"	94.8112679135156	0.0364256517605485	0.119936302742213	0.678396376905411	0.999629461123645
"Tmem123"	44.2862442838911	-0.0729824773492319	0.147784932013836	0.41919263933471	0.999629461123645
"Prim2"	6.81167710527722	-0.0771384767502213	0.189908431348702	0.15096044987697	0.999629461123645
"Sdad1"	4.22857652480903	-0.000548313174185797	0.169161338149428	0.98821934147744	0.999629461123645
"Mcmbp"	9.61841753106887	0.061389170081196	0.177000058403809	0.311556292823407	0.999629461123645
"Nt5dc1"	12.0171269568964	-0.0305395204976897	0.164118949308669	0.62648221486367	0.999629461123645
"U2af1"	14.8176004809677	-0.0198073886538683	0.159797936518988	0.765657254575646	0.999629461123645
"Lrrc14"	35.5963210227609	0.0904053559954174	0.163246389011972	0.309244947033044	0.999629461123645
"Hectd3"	24.352992220153	-0.0324661447042667	0.152627810599735	0.677329139127293	0.999629461123645
"Epn1"	24.663970736456	0.128312204034083	0.194253246751907	0.160587488137855	0.999629461123645
"Fsbp"	2.21010967649086	-0.035171927066503	0.177045721620217	0.251688693842196	0.999629461123645
"Pepd"	177.363385663996	-0.143796242015345	0.111621796472138	0.106207696178485	0.963761228557844
"Atg16l1"	25.6330539557875	-0.0538193637479286	0.156220180830279	0.501826000344372	0.999629461123645
"Calm1"	1873.42098082192	0.125527107068526	0.0676498997503919	0.043757251697817	0.682281347206656
"Wdr26"	40.928709614138	-0.0542936778030343	0.14635416009668	0.52822764651659	0.999629461123645
"Xbp1"	161.167970738224	-0.00137047668873366	0.103469118179343	0.986152405170871	0.999629461123645
"Spg11"	2.01594006092196	0.00709710965509068	0.172002322809583	0.816609677301745	0.999629461123645
"Camsap3"	5.40275090373777	0.0163361239130799	0.169333111512812	0.717381866044364	0.999629461123645
"Tprn"	61.9259064552924	0.0161862135566228	0.128404211484074	0.853992021946578	0.999629461123645
